"","","","","","","","","","",""
"15579","ADRIANUS Trudelle","1488","Gradué","  ","Beauvais","Paris","
          Bachelier en droit canon (Paris) (le 25 septembre)
          
            1488
          
          .
        ","oui","oui","non"
"152","ADRIANUS Van den Eeckhoute","1479","Maître","Flandre Gand ","","Paris","?Maître en théologie (Paris)","oui","oui","oui"
"147","ADRIANUS Vianen","1485","Gradué","Pays-Bas  ","Utrecht","Paris","
          Bachelier ès arts (Paris)
          
            1485
          
          .
        ","non","non","non"
"150","ADRIANUS Wolteri de Mera","1448","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1447
          
          .
        ","non","oui","non"
"153","ADRIANUS de Atrio","1427","Gradué","  ","","Paris","
          Licencié en médecine (Paris)
          
            1429
          
          .
        ","non","non","non"
"154","ADRIANUS de But","1474","Gradué","  ","","Paris","Bachelier en théologie (Paris)","oui","non","oui"
"16134","ADRIANUS de Floos","1482","Maître","  ","Thérouanne","Paris","
          Maître ès arts (Paris)
          
            1482
          
          .
        ","non","oui","non"
"148","ADRIANUS de Gouda","1492","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1492
          
          .
        ","non","non","non"
"149","ADRIANUS de Huesden","1447","Maître","  ","","Paris","
          Maître ès arts
          
            1446
          
          .
        ","non","oui","non"
"17285","ADRIANUS de Lameth","1525","Maître","Picardie Noyon ","","Paris","
          Maître en théologie (Paris)
          
            1532
          
          .
        ","oui","oui","oui"
"13140","ADRIANUS de Mil","1484","Maître","  ","","Paris","
          Docteur en théologie (Paris) (le 3 décembre)
          
            1476
          
          .
        ","oui","oui","non"
"17195","ADRIANUS de Poitiers","1461","Étudiant","  ","","Paris","Docteur in utroque.","oui","non","non"
"16118","AEGIDIUS 1","1313","Étudiant","  ","","Paris","","oui","non","non"
"16304","AEGIDIUS 2","1325","Incertain","  ","","Paris","Magister ?","oui","non","non"
"159","AEGIDIUS 3","1339","Suppôt","  ","","Paris","","non","oui","non"
"19034","AEGIDIUS 4","1385","Suppôt","  ","","Paris","","non","oui","non"
"157","AEGIDIUS 5","1409","?Maître","  ","","Paris","
          Magister (Nation
          Anglaise
          ).
        ","non","oui","non"
"158","AEGIDIUS 6","1446","Extérieur","  ","","Paris","","oui","non","non"
"156","AEGIDIUS 7","1449","Suppôt","  ","","","Magister.","non","oui","non"
"155","AEGIDIUS 8","1470","?Maître","  ","","Paris","Maître ?","non","non","non"
"160","AEGIDIUS Abbatis","1386","Maître","Normandie  ","Rouen","Paris","
          Maître en théologie (Paris)
          
            1385
          
          .
        ","oui","oui","non"
"16838","AEGIDIUS Adineti","1403","Gradué","Champagne  ","Troyes","Paris","
          Bachelier ès arts (Paris) en
          
            1403
          
          ?
        ","oui","non","non"
"16152","AEGIDIUS Alardi","1488","Maître","France Picardie ","Noyon","Paris","
          Maître ès arts (Paris)
          
            1482
          
          .
        ","oui","non","non"
"161","AEGIDIUS Albisupercilii","1362","Maître","  ","Paris","Paris","
          Maître ès arts attesté en
          
            1362
          
          .
        ","oui","non","non"
"162","AEGIDIUS Andree","1448","Maître","Pays-Bas  ","Utrecht","Paris","
          Maître ès arts (Paris)
          
            1448
          
          .
        ","non","non","non"
